run_id,disturbance_type,scenario,seed,duration,payload_factor,payload_start,payload_ramp,wind_mode,wind_peak,wind_start,wind_ramp,p_gain_mult_start,p_gain_mult_end,gain_start,gain_ramp,s2_radius,s2_omega,output
payload_f1.8_s2.0_r4.0_S2_seed7,payload,S2,7,20.0,1.8,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s2.0_r4.0_S2_seed7.csv
payload_f1.8_s2.0_r4.0_S2_seed123,payload,S2,123,20.0,1.8,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s2.0_r4.0_S2_seed123.csv
payload_f1.8_s2.0_r7.0_S1_seed42,payload,S1,42,20.0,1.8,2.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s2.0_r7.0_S1_seed42.csv
payload_f1.8_s2.0_r7.0_S1_seed7,payload,S1,7,20.0,1.8,2.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s2.0_r7.0_S1_seed7.csv
payload_f1.8_s2.0_r7.0_S1_seed123,payload,S1,123,20.0,1.8,2.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s2.0_r7.0_S1_seed123.csv
payload_f1.8_s2.0_r7.0_S2_seed42,payload,S2,42,20.0,1.8,2.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s2.0_r7.0_S2_seed42.csv
payload_f1.8_s2.0_r7.0_S2_seed7,payload,S2,7,20.0,1.8,2.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s2.0_r7.0_S2_seed7.csv
payload_f1.8_s2.0_r7.0_S2_seed123,payload,S2,123,20.0,1.8,2.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s2.0_r7.0_S2_seed123.csv
payload_f1.8_s4.0_r2.0_S1_seed42,payload,S1,42,20.0,1.8,4.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s4.0_r2.0_S1_seed42.csv
payload_f1.8_s4.0_r2.0_S1_seed7,payload,S1,7,20.0,1.8,4.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s4.0_r2.0_S1_seed7.csv
payload_f1.8_s4.0_r2.0_S1_seed123,payload,S1,123,20.0,1.8,4.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s4.0_r2.0_S1_seed123.csv
payload_f1.8_s4.0_r2.0_S2_seed42,payload,S2,42,20.0,1.8,4.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s4.0_r2.0_S2_seed42.csv
payload_f1.8_s4.0_r2.0_S2_seed7,payload,S2,7,20.0,1.8,4.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s4.0_r2.0_S2_seed7.csv
payload_f1.8_s4.0_r2.0_S2_seed123,payload,S2,123,20.0,1.8,4.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s4.0_r2.0_S2_seed123.csv
payload_f1.8_s4.0_r4.0_S1_seed42,payload,S1,42,20.0,1.8,4.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s4.0_r4.0_S1_seed42.csv
payload_f1.8_s4.0_r4.0_S1_seed7,payload,S1,7,20.0,1.8,4.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s4.0_r4.0_S1_seed7.csv
payload_f1.8_s4.0_r4.0_S1_seed123,payload,S1,123,20.0,1.8,4.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s4.0_r4.0_S1_seed123.csv
payload_f1.8_s4.0_r4.0_S2_seed42,payload,S2,42,20.0,1.8,4.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s4.0_r4.0_S2_seed42.csv
payload_f1.8_s4.0_r4.0_S2_seed7,payload,S2,7,20.0,1.8,4.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s4.0_r4.0_S2_seed7.csv
payload_f1.8_s4.0_r4.0_S2_seed123,payload,S2,123,20.0,1.8,4.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s4.0_r4.0_S2_seed123.csv
payload_f1.8_s4.0_r7.0_S1_seed42,payload,S1,42,20.0,1.8,4.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s4.0_r7.0_S1_seed42.csv
payload_f1.8_s4.0_r7.0_S1_seed7,payload,S1,7,20.0,1.8,4.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s4.0_r7.0_S1_seed7.csv
payload_f1.8_s4.0_r7.0_S1_seed123,payload,S1,123,20.0,1.8,4.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s4.0_r7.0_S1_seed123.csv
payload_f1.8_s4.0_r7.0_S2_seed42,payload,S2,42,20.0,1.8,4.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s4.0_r7.0_S2_seed42.csv
payload_f1.8_s4.0_r7.0_S2_seed7,payload,S2,7,20.0,1.8,4.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s4.0_r7.0_S2_seed7.csv
payload_f1.8_s4.0_r7.0_S2_seed123,payload,S2,123,20.0,1.8,4.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s4.0_r7.0_S2_seed123.csv
payload_f1.8_s6.0_r2.0_S1_seed42,payload,S1,42,20.0,1.8,6.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s6.0_r2.0_S1_seed42.csv
payload_f1.8_s6.0_r2.0_S1_seed7,payload,S1,7,20.0,1.8,6.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s6.0_r2.0_S1_seed7.csv
payload_f1.8_s6.0_r2.0_S1_seed123,payload,S1,123,20.0,1.8,6.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s6.0_r2.0_S1_seed123.csv
payload_f1.8_s6.0_r2.0_S2_seed42,payload,S2,42,20.0,1.8,6.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s6.0_r2.0_S2_seed42.csv
payload_f1.8_s6.0_r2.0_S2_seed7,payload,S2,7,20.0,1.8,6.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s6.0_r2.0_S2_seed7.csv
payload_f1.8_s6.0_r2.0_S2_seed123,payload,S2,123,20.0,1.8,6.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s6.0_r2.0_S2_seed123.csv
payload_f1.8_s6.0_r4.0_S1_seed42,payload,S1,42,20.0,1.8,6.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s6.0_r4.0_S1_seed42.csv
payload_f1.8_s6.0_r4.0_S1_seed7,payload,S1,7,20.0,1.8,6.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s6.0_r4.0_S1_seed7.csv
payload_f1.8_s6.0_r4.0_S1_seed123,payload,S1,123,20.0,1.8,6.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s6.0_r4.0_S1_seed123.csv
payload_f1.8_s6.0_r4.0_S2_seed42,payload,S2,42,20.0,1.8,6.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s6.0_r4.0_S2_seed42.csv
payload_f1.8_s6.0_r4.0_S2_seed7,payload,S2,7,20.0,1.8,6.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s6.0_r4.0_S2_seed7.csv
payload_f1.8_s6.0_r4.0_S2_seed123,payload,S2,123,20.0,1.8,6.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s6.0_r4.0_S2_seed123.csv
payload_f1.8_s6.0_r7.0_S1_seed42,payload,S1,42,20.0,1.8,6.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s6.0_r7.0_S1_seed42.csv
payload_f1.8_s6.0_r7.0_S1_seed7,payload,S1,7,20.0,1.8,6.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s6.0_r7.0_S1_seed7.csv
payload_f1.8_s6.0_r7.0_S1_seed123,payload,S1,123,20.0,1.8,6.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f1.8_s6.0_r7.0_S1_seed123.csv
payload_f1.8_s6.0_r7.0_S2_seed42,payload,S2,42,20.0,1.8,6.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s6.0_r7.0_S2_seed42.csv
payload_f1.8_s6.0_r7.0_S2_seed7,payload,S2,7,20.0,1.8,6.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s6.0_r7.0_S2_seed7.csv
payload_f1.8_s6.0_r7.0_S2_seed123,payload,S2,123,20.0,1.8,6.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f1.8_s6.0_r7.0_S2_seed123.csv
payload_f2.2_s2.0_r2.0_S1_seed42,payload,S1,42,20.0,2.2,2.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s2.0_r2.0_S1_seed42.csv
payload_f2.2_s2.0_r2.0_S1_seed7,payload,S1,7,20.0,2.2,2.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s2.0_r2.0_S1_seed7.csv
payload_f2.2_s2.0_r2.0_S1_seed123,payload,S1,123,20.0,2.2,2.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s2.0_r2.0_S1_seed123.csv
payload_f2.2_s2.0_r2.0_S2_seed42,payload,S2,42,20.0,2.2,2.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s2.0_r2.0_S2_seed42.csv
payload_f2.2_s2.0_r2.0_S2_seed7,payload,S2,7,20.0,2.2,2.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s2.0_r2.0_S2_seed7.csv
payload_f2.2_s2.0_r2.0_S2_seed123,payload,S2,123,20.0,2.2,2.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s2.0_r2.0_S2_seed123.csv
payload_f2.2_s2.0_r4.0_S1_seed42,payload,S1,42,20.0,2.2,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s2.0_r4.0_S1_seed42.csv
payload_f2.2_s2.0_r4.0_S1_seed7,payload,S1,7,20.0,2.2,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s2.0_r4.0_S1_seed7.csv
payload_f2.2_s2.0_r4.0_S1_seed123,payload,S1,123,20.0,2.2,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s2.0_r4.0_S1_seed123.csv
payload_f2.2_s2.0_r4.0_S2_seed42,payload,S2,42,20.0,2.2,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s2.0_r4.0_S2_seed42.csv
payload_f2.2_s2.0_r4.0_S2_seed7,payload,S2,7,20.0,2.2,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s2.0_r4.0_S2_seed7.csv
payload_f2.2_s2.0_r4.0_S2_seed123,payload,S2,123,20.0,2.2,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s2.0_r4.0_S2_seed123.csv
payload_f2.2_s2.0_r7.0_S1_seed42,payload,S1,42,20.0,2.2,2.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s2.0_r7.0_S1_seed42.csv
payload_f2.2_s2.0_r7.0_S1_seed7,payload,S1,7,20.0,2.2,2.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s2.0_r7.0_S1_seed7.csv
payload_f2.2_s2.0_r7.0_S1_seed123,payload,S1,123,20.0,2.2,2.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s2.0_r7.0_S1_seed123.csv
payload_f2.2_s2.0_r7.0_S2_seed42,payload,S2,42,20.0,2.2,2.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s2.0_r7.0_S2_seed42.csv
payload_f2.2_s2.0_r7.0_S2_seed7,payload,S2,7,20.0,2.2,2.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s2.0_r7.0_S2_seed7.csv
payload_f2.2_s2.0_r7.0_S2_seed123,payload,S2,123,20.0,2.2,2.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s2.0_r7.0_S2_seed123.csv
payload_f2.2_s4.0_r2.0_S1_seed42,payload,S1,42,20.0,2.2,4.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s4.0_r2.0_S1_seed42.csv
payload_f2.2_s4.0_r2.0_S1_seed7,payload,S1,7,20.0,2.2,4.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s4.0_r2.0_S1_seed7.csv
payload_f2.2_s4.0_r2.0_S1_seed123,payload,S1,123,20.0,2.2,4.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s4.0_r2.0_S1_seed123.csv
payload_f2.2_s4.0_r2.0_S2_seed42,payload,S2,42,20.0,2.2,4.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s4.0_r2.0_S2_seed42.csv
payload_f2.2_s4.0_r2.0_S2_seed7,payload,S2,7,20.0,2.2,4.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s4.0_r2.0_S2_seed7.csv
payload_f2.2_s4.0_r2.0_S2_seed123,payload,S2,123,20.0,2.2,4.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s4.0_r2.0_S2_seed123.csv
payload_f2.2_s4.0_r4.0_S1_seed42,payload,S1,42,20.0,2.2,4.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s4.0_r4.0_S1_seed42.csv
payload_f2.2_s4.0_r4.0_S1_seed7,payload,S1,7,20.0,2.2,4.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s4.0_r4.0_S1_seed7.csv
payload_f2.2_s4.0_r4.0_S1_seed123,payload,S1,123,20.0,2.2,4.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s4.0_r4.0_S1_seed123.csv
payload_f2.2_s4.0_r4.0_S2_seed42,payload,S2,42,20.0,2.2,4.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s4.0_r4.0_S2_seed42.csv
payload_f2.2_s4.0_r4.0_S2_seed7,payload,S2,7,20.0,2.2,4.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s4.0_r4.0_S2_seed7.csv
payload_f2.2_s4.0_r4.0_S2_seed123,payload,S2,123,20.0,2.2,4.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s4.0_r4.0_S2_seed123.csv
payload_f2.2_s4.0_r7.0_S1_seed42,payload,S1,42,20.0,2.2,4.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s4.0_r7.0_S1_seed42.csv
payload_f2.2_s4.0_r7.0_S1_seed7,payload,S1,7,20.0,2.2,4.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s4.0_r7.0_S1_seed7.csv
payload_f2.2_s4.0_r7.0_S1_seed123,payload,S1,123,20.0,2.2,4.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s4.0_r7.0_S1_seed123.csv
payload_f2.2_s4.0_r7.0_S2_seed42,payload,S2,42,20.0,2.2,4.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s4.0_r7.0_S2_seed42.csv
payload_f2.2_s4.0_r7.0_S2_seed7,payload,S2,7,20.0,2.2,4.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s4.0_r7.0_S2_seed7.csv
payload_f2.2_s4.0_r7.0_S2_seed123,payload,S2,123,20.0,2.2,4.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s4.0_r7.0_S2_seed123.csv
payload_f2.2_s6.0_r2.0_S1_seed42,payload,S1,42,20.0,2.2,6.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s6.0_r2.0_S1_seed42.csv
payload_f2.2_s6.0_r2.0_S1_seed7,payload,S1,7,20.0,2.2,6.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s6.0_r2.0_S1_seed7.csv
payload_f2.2_s6.0_r2.0_S1_seed123,payload,S1,123,20.0,2.2,6.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s6.0_r2.0_S1_seed123.csv
payload_f2.2_s6.0_r2.0_S2_seed42,payload,S2,42,20.0,2.2,6.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s6.0_r2.0_S2_seed42.csv
payload_f2.2_s6.0_r2.0_S2_seed7,payload,S2,7,20.0,2.2,6.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s6.0_r2.0_S2_seed7.csv
payload_f2.2_s6.0_r2.0_S2_seed123,payload,S2,123,20.0,2.2,6.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s6.0_r2.0_S2_seed123.csv
payload_f2.2_s6.0_r4.0_S1_seed42,payload,S1,42,20.0,2.2,6.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s6.0_r4.0_S1_seed42.csv
payload_f2.2_s6.0_r4.0_S1_seed7,payload,S1,7,20.0,2.2,6.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s6.0_r4.0_S1_seed7.csv
payload_f2.2_s6.0_r4.0_S1_seed123,payload,S1,123,20.0,2.2,6.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s6.0_r4.0_S1_seed123.csv
payload_f2.2_s6.0_r4.0_S2_seed42,payload,S2,42,20.0,2.2,6.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s6.0_r4.0_S2_seed42.csv
payload_f2.2_s6.0_r4.0_S2_seed7,payload,S2,7,20.0,2.2,6.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s6.0_r4.0_S2_seed7.csv
payload_f2.2_s6.0_r4.0_S2_seed123,payload,S2,123,20.0,2.2,6.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s6.0_r4.0_S2_seed123.csv
payload_f2.2_s6.0_r7.0_S1_seed42,payload,S1,42,20.0,2.2,6.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s6.0_r7.0_S1_seed42.csv
payload_f2.2_s6.0_r7.0_S1_seed7,payload,S1,7,20.0,2.2,6.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s6.0_r7.0_S1_seed7.csv
payload_f2.2_s6.0_r7.0_S1_seed123,payload,S1,123,20.0,2.2,6.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.2_s6.0_r7.0_S1_seed123.csv
payload_f2.2_s6.0_r7.0_S2_seed42,payload,S2,42,20.0,2.2,6.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s6.0_r7.0_S2_seed42.csv
payload_f2.2_s6.0_r7.0_S2_seed7,payload,S2,7,20.0,2.2,6.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s6.0_r7.0_S2_seed7.csv
payload_f2.2_s6.0_r7.0_S2_seed123,payload,S2,123,20.0,2.2,6.0,7.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.2_s6.0_r7.0_S2_seed123.csv
payload_f2.5_s2.0_r2.0_S1_seed42,payload,S1,42,20.0,2.5,2.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.5_s2.0_r2.0_S1_seed42.csv
payload_f2.5_s2.0_r2.0_S1_seed7,payload,S1,7,20.0,2.5,2.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.5_s2.0_r2.0_S1_seed7.csv
payload_f2.5_s2.0_r2.0_S1_seed123,payload,S1,123,20.0,2.5,2.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,data/raw/main/payload_f2.5_s2.0_r2.0_S1_seed123.csv
payload_f2.5_s2.0_r2.0_S2_seed42,payload,S2,42,20.0,2.5,2.0,2.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,data/raw/main/payload_f2.5_s2.0_r2.0_S2_seed42.csv
